Location,Indicator,Sector,Units,Scale,Measurement,2024,Source,Seasonally adjusted,Base year price,Base year index,Historical end,Date of last update,Source details,Additional source details,Contact email,Location code,Indicator code
South East,Employee jobs,Other service activities,Jobs,thousands,Level values,91.33,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EESS
South East,Employee jobs,Education,Jobs,thousands,Level values,418.48,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEPP
South East,Employee jobs,"Professional, scientific and tech",Jobs,thousands,Level values,405.04,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEMM
South East,Employee jobs,Public administration and defence,Jobs,thousands,Level values,147.18,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEOO
South East,Employee jobs,Real estate activities,Jobs,thousands,Level values,70.65,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EELL
South East,Employee jobs,"Rubber, plastic and other non-metallic mineral products",Jobs,thousands,Level values,17.99,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCG
South East,Employee jobs,"Textiles, wearing apparel and leather products",Jobs,thousands,Level values,6.25,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCB
South East,Employee jobs,Total,Jobs,thousands,Level values,4258.62,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EETT
South East,Employee jobs,Transport equipment,Jobs,thousands,Level values,23.15,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCL
South East,Employee jobs,Transportation and storage,Jobs,thousands,Level values,203.51,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEHH
South East,Employee jobs,Water supply,Jobs,thousands,Level values,33.01,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEEE
South East,Employee jobs,Wholesale and retail trade,Jobs,thousands,Level values,655.67,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EEGG
South East,Employee jobs,"Wood, paper products and printing",Jobs,thousands,Level values,19.75,Workforce Jobs,FALSE,,,2024,24-Feb-26,"Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,EECCC
South East,People based employment,Whole Economy,People,thousands,Level values,4480.66,"2011 Census, Workforce jobs, Oxford Economics",FALSE,,,2024,24-Feb-26,"2011 Census, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,P_ETTT
South East,Employment - jobs based,Accommodation,Jobs,thousands,Level values,64.97,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET55
South East,Employment - jobs based,Accommodation and food service,Jobs,thousands,Level values,333.06,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETII
South East,Employment - jobs based,Activities auxiliary to finance & insurance,Jobs,thousands,Level values,62.24,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET66
South East,Employment - jobs based,Activities of head offices,Jobs,thousands,Level values,153.41,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET70
South East,Employment - jobs based,Activities of membership organisations,Jobs,thousands,Level values,43.91,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET94
South East,Employment - jobs based,Administrative and support ,Jobs,thousands,Level values,395.75,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETNN
South East,Employment - jobs based,Advertising & market research,Jobs,thousands,Level values,36.03,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET73
South East,Employment - jobs based,"Agriculture, forestry and fishing",Jobs,thousands,Level values,45.85,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETAA
South East,Employment - jobs based,Air transport,Jobs,thousands,Level values,11.12,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET51
South East,Employment - jobs based,Architectural & engineering activities,Jobs,thousands,Level values,89.31,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET71
South East,Employment - jobs based,"Arts, entertainment and rec.",Jobs,thousands,Level values,147.69,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETRR
South East,Employment - jobs based,Basic metals and metal products,Jobs,thousands,Level values,30.19,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETCCH
South East,Employment - jobs based,Basic pharmaceutical products,Jobs,thousands,Level values,3.91,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETCCF
South East,Employment - jobs based,Chemicals and chemical products,Jobs,thousands,Level values,12.01,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETCCE
South East,Employment - jobs based,Civil engineering,Jobs,thousands,Level values,25.64,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET42
South East,Employment - jobs based,Coke and refined petroleum products,Jobs,thousands,Level values,1.6,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETCCD
South East,Employment - jobs based,Computer programming & consultancy,Jobs,thousands,Level values,185.54,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET62
South East,Employment - jobs based,"Computer, electronic and optical products",Jobs,thousands,Level values,30.25,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETCCI
South East,Employment - jobs based,Construction,Jobs,thousands,Level values,323.68,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETFF
South East,Employment - jobs based,Construction of buildings,Jobs,thousands,Level values,118.4,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET41
South East,Employment - jobs based,"Creative, arts & entertainment",Jobs,thousands,Level values,26.39,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET90
South East,Employment - jobs based,Crop & animal production,Jobs,thousands,Level values,41.15,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET01
South East,Employment - jobs based,Education,Jobs,thousands,Level values,472.76,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET85
South East,Employment - jobs based,Electrical equipment,Jobs,thousands,Level values,11.64,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETCCJ
South East,Employment - jobs based,"Electricity, gas, steam & air conditioning",Jobs,thousands,Level values,16.92,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET35
South East,Employment - jobs based,"Electricity, gas, steam and air ",Jobs,thousands,Level values,16.92,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETDD
South East,Employment - jobs based,Employment activities,Jobs,thousands,Level values,94.25,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET78
South East,Employment - jobs based,Extraction of crude petroleum & natural gas,Jobs,thousands,Level values,0.32,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET06
South East,Employment - jobs based,Financial and insurance ,Jobs,thousands,Level values,116.87,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETKK
South East,Employment - jobs based,Financial service activities,Jobs,thousands,Level values,38.94,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET64
South East,Employment - jobs based,Fishing & aquaculture,Jobs,thousands,Level values,1,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET03
South East,Employment - jobs based,Food & beverage service activities,Jobs,thousands,Level values,268.09,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET56
South East,Employment - jobs based,"Food products, beverages and tobacco",Jobs,thousands,Level values,34.59,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETCCA
South East,Employment - jobs based,Forestry & logging,Jobs,thousands,Level values,3.69,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET02
South East,Employment - jobs based,Gambling & betting,Jobs,thousands,Level values,6.21,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET92
South East,Employment - jobs based,Human health,Jobs,thousands,Level values,385.41,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET86
South East,Employment - jobs based,Human health and social work ,Jobs,thousands,Level values,647.78,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETQQ
South East,Employment - jobs based,Information and communication,Jobs,thousands,Level values,278.33,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETJJ
South East,Employment - jobs based,Information service activities,Jobs,thousands,Level values,10.98,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET63
South East,Employment - jobs based,"Insurance, reinsurance & pension funding",Jobs,thousands,Level values,15.69,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET65
South East,Employment - jobs based,Land transport & transport via pipelines,Jobs,thousands,Level values,76.73,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET49
South East,Employment - jobs based,Legal & accounting,Jobs,thousands,Level values,93.84,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET69
South East,Employment - jobs based,"Libraries, archives, museums & other cultural",Jobs,thousands,Level values,14.53,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET91
South East,Employment - jobs based,Machinery and equipment nec,Jobs,thousands,Level values,20.23,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETCCK
South East,Employment - jobs based,Manufacture of basic metals,Jobs,thousands,Level values,1.76,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET24
South East,Employment - jobs based,Manufacture of basic pharmaceuticals,Jobs,thousands,Level values,3.91,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET21
South East,Employment - jobs based,Manufacture of beverages,Jobs,thousands,Level values,4.67,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET11
South East,Employment - jobs based,Manufacture of chemicals,Jobs,thousands,Level values,12.01,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET20
South East,Employment - jobs based,Manufacture of coke & refined petroleum,Jobs,thousands,Level values,1.6,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET19
South East,Employment - jobs based,"Manufacture of computer, electronic & optical ",Jobs,thousands,Level values,30.25,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET26
South East,Employment - jobs based,Manufacture of electrical equipment,Jobs,thousands,Level values,11.64,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET27
South East,Employment - jobs based,Manufacture of fabricated metal products,Jobs,thousands,Level values,28.43,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET25
South East,Employment - jobs based,Manufacture of food products,Jobs,thousands,Level values,29.91,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET10
South East,Employment - jobs based,Manufacture of furniture,Jobs,thousands,Level values,7.58,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET31
South East,Employment - jobs based,Manufacture of leather & related products,Jobs,thousands,Level values,0.13,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET15
South East,Employment - jobs based,Manufacture of machinery & equipment n.e.c.,Jobs,thousands,Level values,20.23,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET28
South East,Employment - jobs based,Manufacture of motor vehicles,Jobs,thousands,Level values,13.3,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET29
South East,Employment - jobs based,Manufacture of other non-metallic products,Jobs,thousands,Level values,8.09,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET23
South East,Employment - jobs based,Manufacture of other transport equipment,Jobs,thousands,Level values,10.7,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET30
South East,Employment - jobs based,Manufacture of paper & paper products,Jobs,thousands,Level values,3.63,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET17
South East,Employment - jobs based,Manufacture of rubber & plastic products,Jobs,thousands,Level values,11.53,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET22
South East,Employment - jobs based,Manufacture of textiles,Jobs,thousands,Level values,4.61,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET13
South East,Employment - jobs based,Manufacture of tobacco products,Jobs,thousands,Level values,0,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET12
South East,Employment - jobs based,Manufacture of wearing apparel,Jobs,thousands,Level values,2.99,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET14
South East,Employment - jobs based,Manufacture of wood & wood products,Jobs,thousands,Level values,10.46,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET16
South East,Employment - jobs based,Manufacturing - Total,Jobs,thousands,Level values,272.71,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETCC
South East,Employment - jobs based,Mining and quarrying,Jobs,thousands,Level values,3.31,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ETBB
South East,Employment - jobs based,Mining of coal & lignite,Jobs,thousands,Level values,0,BRES/Workforce jobs,FALSE,,,2024,24-Feb-26,"BRES, Workforce jobs, Oxford Economics",These forecasts are consistent with the national outlook published on 19th February,khouston@oxfordeconomics.com,UK1,ET05
